timestamp,gpu_util_percent,memory_used_MB
1745896476,0,0
1745896478,0,0
1745896479,0,0
1745896480,0,5
1745896481,0,5
1745896482,0,811
1745896483,3,1239
1745896484,32,1239
1745896485,32,1239
1745896486,32,1239
1745896487,32,1239
1745896488,32,1239
1745896489,32,1239
1745896490,32,1239
1745896491,32,1239
1745896492,32,1239
1745896493,32,1239
1745896494,33,1239
1745896495,32,1239
1745896496,33,1239
1745896497,32,1239
1745896498,0,1241
1745896499,34,1241
1745896500,34,1241
1745896501,34,1241
1745896502,34,1241
1745896503,32,1241
1745896504,34,1241
1745896505,34,1241
1745896506,33,1241
1745896507,35,1241
1745896508,35,1241
1745896509,34,1241
1745896510,35,1241
1745896511,29,1241
1745896512,33,1241
1745896513,32,1241
1745896514,35,1241
1745896515,34,1241
1745896516,33,1241
1745896517,35,1241
1745896518,34,1241
1745896519,33,1241
1745896520,35,1241
1745896521,34,1241
1745896522,34,1241
1745896523,34,1241
1745896524,34,1241
1745896525,33,1241
1745896526,34,1241
1745896527,35,1241
1745896528,34,1241
1745896529,34,1241
1745896530,32,1241
1745896532,34,1241
1745896533,34,1241
1745896534,34,1241
1745896535,34,1241
1745896536,34,1241
1745896537,35,1241
1745896538,35,1241
1745896539,34,1241
1745896540,34,1241
1745896541,34,1241
1745896542,35,1241
1745896543,36,1241
1745896544,35,1241
1745896545,35,1241
1745896546,34,1241
1745896547,35,1241
1745896548,32,1241
1745896549,34,1241
1745896550,35,1241
1745896551,34,1241
1745896552,34,1241
1745896553,34,1241
1745896554,35,1241
1745896555,35,1241
1745896556,35,1241
1745896557,34,1241
1745896558,33,1241
1745896559,33,1241
1745896560,35,1241
1745896561,35,1241
1745896562,36,1241
1745896563,35,1241
1745896564,35,1241
1745896565,35,1241
1745896566,34,1241
1745896567,35,1241
1745896568,34,1241
1745896569,35,1241
1745896570,35,1241
1745896571,34,1241
1745896572,35,1241
1745896573,35,1241
1745896574,35,1241
1745896575,34,1241
1745896576,32,1241
1745896577,35,1241
1745896578,35,1241
1745896579,35,1241
1745896580,35,1241
1745896581,34,1241
1745896582,34,1241
1745896583,34,1241
1745896585,34,1241
1745896586,35,1241
1745896587,33,1241
1745896588,35,1241
1745896589,35,1241
1745896590,34,1241
1745896591,35,1241
1745896592,35,1241
1745896593,34,1241
1745896594,33,1241
1745896595,35,1241
1745896596,35,1241
1745896597,33,1241
1745896598,34,1241
1745896599,35,1241
1745896600,34,1241
1745896601,35,1241
1745896602,34,1241
1745896603,34,1241
1745896604,35,1241
1745896605,34,1241
1745896606,34,1241
1745896607,34,1241
1745896608,34,1241
1745896609,35,1241
1745896610,30,1285
1745896611,34,1285
1745896612,35,1285
1745896613,35,1285
1745896614,34,1285
1745896615,34,1285
1745896616,35,1285
1745896617,34,1285
1745896618,33,1285
1745896619,35,1285
1745896620,35,1285
1745896621,35,1285
1745896622,35,1285
1745896623,35,1285
1745896624,35,1285
1745896625,34,1285
1745896626,34,1285
1745896627,34,1285
1745896628,33,1285
1745896629,36,1285
1745896630,35,1285
1745896631,35,1285
1745896632,34,1285
1745896633,34,1285
1745896634,35,1285
1745896635,35,1285
1745896636,34,1285
1745896638,35,1285
1745896639,34,1285
1745896640,34,1285
1745896641,34,1285
1745896642,34,1285
1745896643,35,1285
1745896644,35,1285
1745896645,35,1285
1745896646,35,1285
1745896647,34,1285
1745896648,35,1285
1745896649,35,1285
1745896650,35,1285
1745896651,34,1285
1745896652,33,1285
1745896653,35,1285
1745896654,35,1285
1745896655,35,1285
1745896656,35,1285
1745896657,34,1285
1745896658,35,1285
1745896659,34,1285
1745896660,34,1285
1745896661,34,1285
1745896662,35,1285
1745896663,33,1285
1745896664,35,1285
1745896665,35,1285
1745896666,33,1285
1745896667,34,1285
1745896668,34,1285
1745896669,35,1285
1745896670,34,1285
1745896671,34,1285
1745896672,34,1285
1745896673,34,1285
1745896674,33,1285
1745896675,34,1285
1745896676,35,1285
1745896677,34,1285
1745896678,34,1285
1745896679,34,1285
1745896680,35,1285
1745896681,35,1285
1745896682,34,1285
1745896683,34,1285
1745896684,36,1285
1745896685,35,1285
1745896686,34,1285
1745896687,35,1285
1745896688,34,1285
1745896689,35,1285
1745896691,35,1285
1745896692,35,1285
1745896693,34,1285
1745896694,35,1285
1745896695,34,1285
1745896696,34,1285
1745896697,33,1285
1745896698,33,1285
1745896699,34,1285
1745896700,34,1285
1745896701,34,1285
1745896702,33,1285
1745896703,34,1285
1745896704,35,1285
1745896705,35,1285
1745896706,35,1285
1745896707,35,1285
1745896708,34,1285
1745896709,34,1285
1745896710,34,1285
1745896711,35,1285
1745896712,35,1285
1745896713,35,1285
1745896714,35,1285
1745896715,35,1285
1745896716,35,1285
1745896717,35,1285
1745896718,35,1285
1745896719,34,1285
1745896720,33,1285
1745896721,34,1285
1745896722,31,1285
1745896723,35,1285
1745896724,34,1285
1745896725,34,1285
1745896726,34,1285
1745896727,35,1285
1745896728,35,1285
1745896729,34,1285
1745896730,36,1285
1745896731,35,1285
1745896732,35,1285
1745896733,35,1285
1745896734,36,1285
1745896735,35,1285
1745896736,34,1285
1745896737,35,1285
1745896738,34,1285
1745896739,35,1285
1745896740,35,1285
1745896741,35,1285
1745896742,34,1285
1745896744,33,1285
1745896745,35,1285
1745896746,36,1285
1745896747,34,1285
1745896748,34,1285
1745896749,35,1285
1745896750,35,1285
1745896751,34,1285
1745896752,35,1285
1745896753,35,1285
1745896754,35,1285
1745896755,33,1285
1745896756,35,1285
1745896757,33,1285
1745896758,35,1285
1745896759,35,1285
1745896760,35,1285
1745896761,35,1285
1745896762,34,1285
1745896763,34,1285
1745896764,35,1285
1745896765,35,1285
1745896766,35,1285
1745896767,34,1285
1745896768,35,1285
1745896769,34,1285
1745896770,34,1285
1745896771,34,1285
1745896772,35,1285
1745896773,35,1285
1745896774,35,1285
1745896775,35,1285
1745896776,34,1285
1745896777,35,1285
1745896778,32,1285
1745896779,35,1285
1745896780,34,1285
1745896781,34,1285
1745896782,34,1285
1745896783,34,1285
1745896784,35,1285
1745896785,34,1285
1745896786,34,1285
1745896787,35,1285
1745896788,32,1285
1745896789,33,1285
1745896790,34,1285
1745896791,35,1285
1745896792,35,1285
1745896793,34,1285
1745896794,33,1285
1745896795,35,1285
1745896797,34,1285
1745896798,34,1285
1745896799,35,1285
1745896800,34,1285
1745896801,33,1285
1745896802,33,1285
1745896803,33,1285
1745896804,32,1285
1745896805,35,1285
1745896806,35,1285
1745896807,35,1285
1745896808,34,1285
1745896809,35,1285
1745896810,35,1285
1745896811,35,1285
1745896812,33,1285
1745896813,30,1285
1745896814,34,1285
1745896815,34,1285
1745896816,35,1285
1745896817,34,1285
1745896818,35,1285
1745896819,35,1285
